title,description,url,publishedAt,content
Car loan scandal payout fears as row drags on,"People who were unaware of commission paid when they bought a car on finance may be in line for payouts, but face delays.",https://www.bbc.com/news/articles/cp3z9l3q5zeo,2024-12-09T00:10:53Z,"Marcus Johnson says he hopes his case will help others 
By his own admission, Marcus Johnson's metallic blue Suzuki Swift was an unremarkable car - a little runaround bought after passing his drivin… [+6777 chars]"
"The 5 best US cities to celebrate New Year's Eve, ranked","The personal finance website WalletHub compared 100 of the biggest US cities on entertainment, food, costs, safety, and accessibility.",https://www.businessinsider.com/top-5-us-cities-to-celebrate-new-years-eve-2024-12,2024-12-28T10:08:35Z,"New Year's celebration on January 1, 2023.Gotham/GC Images/Getty Images
<ul><li>The personal finance website WalletHub has ranked the best places to celebrate New Year's Eve this year.</li><li>The s… [+2007 chars]"
Dave Ramsey's 2 tips as people prepare to spend lavishly this holiday season — and still be paying for it in May,"Dave Ramsey, a personal finance star, advised people to save up for the Christmas splurge and set a strict budget so they don't overspend.",https://www.businessinsider.com/dave-ramsey-christmas-holidays-gifts-debt-budgeting-saving-personal-finance-2024-12,2024-12-23T13:25:54Z,The offers and details on this page may have updated or changed since the time of publication. See our article on Business Insider for current information.Dave Ramsey is a radio host and personal fin… [+2879 chars]
Canadian Man Crowned as King of Spreadsheets at the 2024 Microsoft Excel World Championship,Guess you could say this guy really excels at spreadsheets.,https://gizmodo.com/canadian-man-crowned-as-king-of-spreadsheets-at-the-2024-microsoft-excel-world-championship-2000537901,2024-12-12T20:15:15Z,"The Microsoft Excel World Championships title belt is headed to Canada.
Sorry, let’s pause to answer a couple of questions this raises. Yes, there is a Microsft Excel World Championship for competit… [+2465 chars]"
"Canada's finance minister resigns, posing biggest test of Trudeau's political career",The stunning move raised questions about how much longer the prime minister of nearly 10 years — whose popularity has plummeted due to concerns about inflation and immigration — can stay on.,https://www.npr.org/2024/12/16/g-s1-38545/canadas-finance-minister-resigns-trudeau,2024-12-17T04:55:08Z,"TORONTO Canadian Prime Minister Justin Trudeau faced the biggest test of his political career after Finance Minister Chrystia Freeland, long one of his most powerful and loyal ministers, resigned fro… [+6172 chars]"
Five things to look out for in the Welsh budget,"Spending plans are to be unveiled by Mark Drakeford, but a deal needs to be struck to make them pass.",https://www.bbc.com/news/articles/c3dx5l99mvno,2024-12-09T22:48:00Z,"Finance Secretary Mark Drakeford says funding from Westminster has given him an extra £1bn to spend next year
Mark Drakeford is preparing outline the Welsh government's £25bn spending plans that wil… [+4941 chars]"
PlayStation 5 Pro: Buy Now or Pay Tariffs Later? Here's How Much It Costs to Finance the Gaming Console,Trump's tariffs could hike the price tag of the PS5 Pro by 40%. I analyzed the costs and risks of different financing options.,https://www.cnet.com/personal-finance/credit-cards/playstation-5-pro-buy-now-or-pay-tariffs-later-heres-how-much-it-costs-to-finance-the-gaming-console/,2024-12-17T18:00:10Z,"Popular imported video game consoles like the PlayStation 5 Pro could become more expensive next year if President-elect Donald Trump's proposed tariffs are implemented -- and gamers are worried. 
D… [+12203 chars]"
The Fed's 3 defining moments of 2024,It's been a hectic year for the Federal Reserve as its members continued their strategic battle against inflation. Yahoo Finance Fed Reporter Jennifer...,https://finance.yahoo.com/video/feds-3-defining-moments-2024-160054423.html,2024-12-22T16:00:54Z,It's been a hectic year for the Federal Reserve as its members continued their strategic battle against inflation. Yahoo Finance Fed Reporter Jennifer Schonberger highlights the top three defining mo… [+575 chars]
Nvidia's Blackwell chip could push the company into a new stratosphere as the AI revolution continues,"Nvidia's Blackwell chip has taken the world by storm. For that reason, Yahoo Finance has selected Blackwell as its 2024 Product of the Year.",https://finance.yahoo.com/news/nvidias-blackwell-chip-could-push-the-company-into-a-new-stratosphere-as-the-ai-revolution-continues-110015637.html,2024-12-18T11:00:15Z,"Nvidia stock (NVDA) is on pace for a comfortable triple-digit percentage gain again in 2024, after a nearly 240% surge in 2023.
This year's rise is due in no small part to a product that wasnt even … [+6451 chars]"
Health to get £600m boost in Welsh budget,All Welsh government departments to be offered more cash from April under budget plans.,https://www.bbc.com/news/articles/cy53nk65py4o,2024-12-10T13:00:49Z,"Mark Drakeford said the budget was a ""real opportunity"" to ""reinvigorate public services""
Healthcare in Wales is being offered hundreds of millions of pounds more next year to tackle record high wai… [+3117 chars]"
"Canadian PM Trudeau may quit within days, media reports suggest","The pressure has been building for months, with sinking poll numbers for the prime minister's ruling Liberal Party.",https://www.bbc.com/news/articles/c4g211j728wo,2025-01-06T11:24:51Z,"Canadian Prime Minister Justin Trudeau could announce his resignation within days, according to media reports.
He is considering stepping down as leader of the governing Liberal Party, which would a… [+2854 chars]"
Amazon’s online car dealership with Hyundai is now live,Amazon is now selling vehicles through its website for the first time. The company has a deal with Hyundai to feature dealer models in 48 cities in the US.,https://www.theverge.com/2024/12/10/24317821/amazon-autos-hyundai-online-car-shopping,2024-12-10T15:20:26Z,"Amazons online car dealership with Hyundai is now live
Amazons online car dealership with Hyundai is now live
 / People in 48 US cities can browse, order, finance, and pickup Hyundai vehicles on Am… [+3572 chars]"
George Santos seeks sentencing delay in federal fraud case,"George Santos is currently scheduled to be sentenced next month on Long Island after pleading guilty to federal fraud, campaign finance and embezzlement charges.",https://abcnews.go.com/US/george-santos-seeks-sentencing-delay-federal-fraud-case/story?id=117320073,2025-01-03T23:41:55Z,"Disgraced former Congressman George Santos asked a judge on Friday to delay his sentencing in his federal fraud case.
Santos is currently scheduled to be sentenced on Feb. 7 in Central Islip, New Yo… [+2335 chars]"
Nearly Half of US Unicorns Have Immigrants Founders,Nearly Half Of US Unicorns Have Foreign-Born Founders | Global Finance Magazine,https://gfmag.com/capital-raising-corporate-finance/us-unicorns-immigrant-founders/,2025-01-02T13:47:56Z,"Research shows that immigrants to the US play a significant role in entrepreneurship and the economy at large.
Ilya Strebulaev, a professor in the Venture Capital Initiative at Stanford Graduate Sch… [+2034 chars]"
Arrest warrant issued for impeached S Korea president Yoon,Yoon ignored three summonses to appear for questioning over his botched martial law attempt.,https://www.bbc.com/news/articles/cp83rllzg1ko,2024-12-31T01:55:54Z,"A Seoul court hasissued an arrest warrant against South Korea's suspended president Yoon Suk Yeol over his attempt to impose martial law on 3 December.
The warrant comes after Yoon, who is facing se… [+2517 chars]"
US Files Complaint Against Fintech App Dave And Its CEO,The U.S. Justice Department has filed a complaint and announced a civil enforcement action against financial technology company Dave and its CEO Jason Wilk for alleged violations of federal law. From a report: The Justice Department and the Federal Trade Comm…,https://news.slashdot.org/story/24/12/31/1512212/us-files-complaint-against-fintech-app-dave-and-its-ceo,2024-12-31T15:22:00Z,"The Justice Department and the Federal Trade Commission alleged the company lured users to its personal finance app by advertising cash advances of up to $500 that many never receive.The complaint, f… [+487 chars]"
Academic Writing is Getting Harder To Read,"Academic writing has become significantly less readable over the past 80 years, particularly in humanities and social sciences, according to an analysis of 347,000 PhD abstracts by The Economist. Using the Flesch reading-ease test, researchers found that read…",https://news.slashdot.org/story/24/12/20/1524250/academic-writing-is-getting-harder-to-read,2024-12-20T16:42:00Z,"""Look, having nuclear — my uncle was a great professor and scientist and engineer, Dr. John Trump at MIT; good genes, very good genes, OK, very smart, the Wharton School of Finance, very good, very s… [+279 chars]"
DOGE is hiring full-time salaried employees. These are the roles Elon Musk and Vivek Ramaswamy aim to fill.,"DOGE said in posts on X that it's now hiring for full-time, paid roles.",https://www.businessinsider.com/elon-musk-doge-hiring-full-time-salaried-jobs-2025-1,2025-01-07T18:00:57Z,"Elon Musk is helping spearhead DOGE's efforts to reduce government spending.Tom Williams/CQ Roll Call
<ul><li>The Department of Government Efficiency is hiring ""a very small number"" of full-time pai… [+2744 chars]"
Human Misuse Will Make Artificial Intelligence More Dangerous,"AI creates what it’s told to, from plucking fanciful evidence from thin air, to arbitrarily removing people’s rights, to sowing doubt over public misdeeds.",https://www.wired.com/story/human-misuse-will-make-artificial-intelligence-more-dangerous/,2024-12-13T14:00:00Z,"OpenAI CEO Sam Altmanexpects AGI, or artificial general intelligenceAI that outperforms humans at most tasksaround 2027 or 2028. Elon Musks prediction is either 2025 or 2026, and he has claimed that … [+4077 chars]"
